buyer_id,sector_id,buyer_name,sector_name,is_externally_funded,price_dev_median,price_dev_p25,price_dev_p75,price_dev_n,single_bidder_rate,single_bidder_n,total_with_bids,no_bid_data_count,non_open_share,non_open_count,total_tenders,bunching_25L,bunching_1Cr,bunching_10Cr,bunching_composite,bunching_n,stickiness_top3,total_award_value,n_suppliers,top3_value,pctile_price_dev,pctile_single_bidder,pctile_non_open,pctile_bunching,pctile_stickiness,composite_equal,composite_pricedev2x,composite_singlebid2x
49,7,Directorate of Sports and Youth Welfare - Assam,electricity_power,False,-0.20102408209712969,-0.23153391238016677,-0.2006392980718411,3.0,,0.0,3.0,0.0,,0.0,3.0,0.0,0.0,0.0,0.0,3.0,,10158260.0,2.0,10158260.0,33.33333333333333,,,36.84210526315789,,,,
49,9,Directorate of Sports and Youth Welfare - Assam,vehicles,False,,,,,,1.0,1.0,0.0,,0.0,1.0,,,,,,,,,,,,,,,,,
49,10,Directorate of Sports and Youth Welfare - Assam,other,False,-0.01934982456140351,-0.24934402992776056,-0.012888171201723232,3.0,0.3333333333333333,8.0,24.0,6.0,,0.0,30.0,0.0,0.18181818181818182,0.0,0.06060606060606061,11.0,0.9578644151218692,637932144.0,6.0,611052500.0,70.0,94.73684210526315,,100.0,94.73684210526315,89.86842105263156,,
50,4,Elementary Education Department,schools,False,,-0.9999929013333333,-0.9999929013333333,1.0,0.15384615384615385,2.0,13.0,9.0,,1.0,22.0,0.0,0.0,0.0,0.0,9.0,,,,,,94.11764705882352,,42.42424242424242,,,,
50,7,Elementary Education Department,electricity_power,False,,,,,,0.0,0.0,3.0,,0.0,3.0,,,,,,,,,,,,,,,,,
50,8,Elementary Education Department,it_computing,False,,,,,,0.0,1.0,2.0,,0.0,3.0,,,,,,,,,,,,,,,,,
52,10,Finance Department,other,False,,,,,,0.0,1.0,0.0,,0.0,1.0,,,,,,,,,,,,,,,,,
54,1,Food Civil Supplies and Consumer Affairs Department,roads,False,-0.9944148936170212,-0.9964864155783582,-0.9919600775193798,60.0,0.13559322033898305,8.0,59.0,0.0,,0.0,59.0,0.0,0.0,0.0,0.0,59.0,,,,,6.666666666666667,92.85714285714286,,36.206896551724135,,45.24356869184456,,
54,8,Food Civil Supplies and Consumer Affairs Department,it_computing,False,,,,,,0.0,1.0,0.0,,0.0,1.0,,,,,,,2331520.0,1.0,2331520.0,,,,,,,,
54,10,Food Civil Supplies and Consumer Affairs Department,other,False,-0.9998758029978587,-0.9999093504639543,-0.9998102187904524,60.0,0.05,4.0,80.0,6.0,,0.0,86.0,0.09523809523809523,0.0,0.0,0.031746031746031744,63.0,0.9134809725800436,115281000.0,5.0,105307000.0,5.0,50.0,,88.57142857142857,89.47368421052632,58.261278195488714,,
55,10,Gauhati High Court - Guwahati,other,False,,,,,0.0,0.0,6.0,0.0,,0.0,6.0,,,,,,,154197211.2,2.0,154197211.2,,17.105263157894736,,,,,,
56,1,Gauhati University,roads,False,,-0.10104145778907112,-0.10104145778907112,1.0,,0.0,4.0,0.0,,0.0,4.0,0.0,0.0,0.0,0.0,4.0,,17134335.0,1.0,17134335.0,,,,36.206896551724135,,,,
56,3,Gauhati University,buildings,False,-0.23500416885493017,-0.25356725493761595,-0.1739756161378988,3.0,0.0,0.0,5.0,1.0,,0.0,6.0,0.0,0.16666666666666666,0.0,0.05555555555555555,6.0,,76632891.0,3.0,76632891.0,5.0,27.083333333333332,,97.36842105263158,,,,
56,4,Gauhati University,schools,False,-0.13120405751829448,-0.1400483315531796,-0.10926754812419645,4.0,0.0,0.0,7.0,0.0,,0.0,7.0,0.0,0.0,0.0,0.0,7.0,,48376850.0,4.0,43607507.0,27.27272727272727,32.35294117647059,,42.42424242424242,,,,
56,7,Gauhati University,electricity_power,False,,,,,,1.0,3.0,0.0,,0.0,3.0,0.6666666666666666,0.0,0.0,0.2222222222222222,3.0,,,,,,,,100.0,,,,
57,3,General Administration Department,buildings,False,,,,,0.0,0.0,5.0,0.0,,0.0,5.0,0.0,0.0,0.0,0.0,5.0,,,,,,27.083333333333332,,35.526315789473685,,,,
57,4,General Administration Department,schools,False,,,,,,0.0,1.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,42.42424242424242,,,,
57,6,General Administration Department,water_sanitation,False,,,,,,0.0,0.0,1.0,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,37.03703703703704,,,,
57,7,General Administration Department,electricity_power,False,-0.10349998090872858,-0.13757499886645572,-0.09227500041762152,8.0,0.1,1.0,10.0,7.0,,0.0,17.0,0.11764705882352941,0.0,0.0,0.0392156862745098,17.0,0.6626306253084852,27386367.860000003,7.0,18147046.060000002,50.0,58.333333333333336,,94.73684210526315,83.33333333333334,71.60087719298247,,
57,8,General Administration Department,it_computing,False,,,,,,0.0,0.0,1.0,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,54.166666666666664,,,,
57,10,General Administration Department,other,False,-0.1085,-0.1085,-0.05499999999999995,9.0,0.1111111111111111,2.0,18.0,5.0,,0.0,23.0,0.09090909090909091,0.0,0.0,0.030303030303030304,22.0,0.6689498984541845,62853668.26,11.0,42045955.0,40.0,72.36842105263158,,85.71428571428571,63.1578947368421,65.31015037593984,,
58,1,Guwahati Metropolitan Development Authority,roads,False,,,,,0.25,2.0,8.0,2.0,,0.0,10.0,0.0,0.0,0.0,0.0,10.0,,,,,,100.0,,36.206896551724135,,,,
58,2,Guwahati Metropolitan Development Authority,bridges,False,,,,,,0.0,0.0,1.0,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,45.45454545454545,,,,
58,3,Guwahati Metropolitan Development Authority,buildings,False,,,,,,0.0,2.0,5.0,,0.0,7.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,35.526315789473685,,,,
58,6,Guwahati Metropolitan Development Authority,water_sanitation,False,-0.09999989005515933,-0.09999992309492695,-0.05019692840895246,3.0,0.0,0.0,17.0,14.0,,0.0,31.0,0.0,0.0,0.0,0.0,24.0,,11238957.0,3.0,11238957.0,69.23076923076923,16.666666666666664,,37.03703703703704,,40.97815764482431,,
58,7,Guwahati Metropolitan Development Authority,electricity_power,False,,-0.012293790059892824,-0.012293790059892824,1.0,,0.0,1.0,2.0,,0.0,3.0,0.0,0.0,0.0,0.0,3.0,,18800000.0,1.0,18800000.0,,,,36.84210526315789,,,,
58,8,Guwahati Metropolitan Development Authority,it_computing,False,,,,,,0.0,1.0,1.0,,0.0,2.0,,,,,,,,,,,,,,,,,
58,9,Guwahati Metropolitan Development Authority,vehicles,False,,,,,,0.0,1.0,1.0,,0.0,2.0,,,,,,,,,,,,,,,,,
58,10,Guwahati Metropolitan Development Authority,other,False,,0.04287610619469027,0.04287610619469027,1.0,0.0,0.0,28.0,14.0,,0.0,42.0,0.0,0.10344827586206896,0.0,0.034482758620689655,29.0,,42938582.8,4.0,42231512.8,,17.105263157894736,,91.42857142857143,,,,
59,1,Guwahati Municipal Corporation,roads,False,-0.1,-0.1264,-0.1,8.0,0.0639269406392694,14.0,219.0,175.0,,0.0,394.0,0.11235955056179775,0.003745318352059925,0.0,0.03870162297128589,267.0,0.7274230043260607,51178200.0,7.0,37228200.0,36.666666666666664,64.28571428571429,,89.65517241379311,88.88888888888889,69.87411056376574,,
59,2,Guwahati Municipal Corporation,bridges,False,,,,,0.2,1.0,5.0,7.0,,0.0,12.0,0.0,0.0,0.0,0.0,4.0,,,,,,91.66666666666666,,45.45454545454545,,,,
59,3,Guwahati Municipal Corporation,buildings,False,,,,,0.15384615384615385,2.0,13.0,23.0,,0.0,36.0,0.0,0.09090909090909091,0.0,0.030303030303030304,11.0,,,,,,91.66666666666666,,92.10526315789474,,,,
59,4,Guwahati Municipal Corporation,schools,False,,-0.108,-0.108,1.0,0.0,0.0,7.0,2.0,,0.0,9.0,0.0,0.0,0.0,0.0,7.0,,17661600.0,1.0,17661600.0,,32.35294117647059,,42.42424242424242,,,,
59,6,Guwahati Municipal Corporation,water_sanitation,False,-0.18470028761590299,-0.23400039588888027,-0.16535048393970975,31.0,0.12949640287769784,18.0,139.0,55.0,,0.0,194.0,0.15306122448979592,0.0,0.0,0.05102040816326531,98.0,0.6551908866817328,102196365.0,19.0,66958127.0,15.384615384615385,80.0,,92.5925925925926,60.0,61.99430199430199,,
59,7,Guwahati Municipal Corporation,electricity_power,False,,-0.061,-0.061,1.0,0.125,1.0,8.0,2.0,,0.0,10.0,0.0,0.0,0.0,0.0,4.0,,27201000.0,2.0,27201000.0,,70.83333333333334,,36.84210526315789,,,,
59,9,Guwahati Municipal Corporation,vehicles,False,,,,,,0.0,0.0,3.0,,0.0,3.0,0.0,0.0,0.0,0.0,3.0,,,,,,,,47.22222222222222,,,,
