ocid,sector_name,classification_method
ocds-f5kvwu-2020_GMC_19709_43,other,default_other
ocds-f5kvwu-2020_GMC_19709_44,other,default_other
ocds-f5kvwu-2020_GMC_19709_45,roads,keyword
ocds-f5kvwu-2020_GMC_19709_46,other,default_other
ocds-f5kvwu-2020_GMC_19709_47,other,default_other
ocds-f5kvwu-2020_GMC_19709_48,other,default_other
ocds-f5kvwu-2020_GMC_19709_5,roads,keyword
ocds-f5kvwu-2020_GMC_19709_6,roads,keyword
ocds-f5kvwu-2020_GMC_19709_7,roads,keyword
ocds-f5kvwu-2020_GMC_19709_8,other,default_other
ocds-f5kvwu-2020_GMC_19709_9,other,default_other
ocds-f5kvwu-2020_GMC_19828_1,other,default_other
ocds-f5kvwu-2020_GMC_19828_2,other,default_other
ocds-f5kvwu-2020_GMDA_19130_1,other,default_other
ocds-f5kvwu-2020_GMDA_19850_1,roads,keyword
ocds-f5kvwu-2020_GSCT_17233_2,other,default_other
ocds-f5kvwu-2020_GSCT_17942_1,other,default_other
ocds-f5kvwu-2020_GSCT_18266_1,buildings,keyword
ocds-f5kvwu-2020_GSCT_18664_1,buildings,keyword
ocds-f5kvwu-2020_GU_19318_1,schools,buyer
ocds-f5kvwu-2020_HAD_19555_3,other,default_other
ocds-f5kvwu-2020_HAD_19555_4,other,default_other
ocds-f5kvwu-2020_HAD_19839_1,other,default_other
ocds-f5kvwu-2020_HB_17826_1,other,default_other
ocds-f5kvwu-2020_HB_17826_2,other,default_other
ocds-f5kvwu-2020_HB_17826_3,other,default_other
ocds-f5kvwu-2020_HB_18245_1,other,default_other
ocds-f5kvwu-2020_HB_18245_2,other,default_other
ocds-f5kvwu-2020_HB_18245_3,other,default_other
ocds-f5kvwu-2020_HB_18657_1,other,default_other
ocds-f5kvwu-2020_HB_18658_1,other,default_other
ocds-f5kvwu-2020_HB_18659_1,other,default_other
ocds-f5kvwu-2020_HB_18660_1,other,default_other
ocds-f5kvwu-2020_HB_18661_1,other,default_other
ocds-f5kvwu-2020_HB_19185_1,other,default_other
ocds-f5kvwu-2020_HB_19368_1,other,default_other
ocds-f5kvwu-2020_HET_19001_1,schools,buyer
ocds-f5kvwu-2020_HET_19430_1,schools,buyer
ocds-f5kvwu-2020_HFWD_17387_1,health,hybrid
ocds-f5kvwu-2020_HFWD_17425_1,health,keyword
ocds-f5kvwu-2020_HFWD_17425_2,health,keyword
ocds-f5kvwu-2020_HFWD_17425_3,health,keyword
ocds-f5kvwu-2020_HFWD_17425_4,health,keyword
ocds-f5kvwu-2020_HFWD_17425_5,health,keyword
ocds-f5kvwu-2020_HFWD_17425_6,health,keyword
ocds-f5kvwu-2020_HFWD_17600_1,health,buyer
ocds-f5kvwu-2020_HFWD_17678_1,health,hybrid
ocds-f5kvwu-2020_HFWD_17699_1,health,buyer
ocds-f5kvwu-2020_HFWD_17722_1,health,buyer
ocds-f5kvwu-2020_HFWD_17915_1,health,keyword
ocds-f5kvwu-2020_HFWD_17992_1,it_computing,keyword
ocds-f5kvwu-2020_HFWD_18050_1,health,keyword
ocds-f5kvwu-2020_HFWD_18106_1,health,buyer
ocds-f5kvwu-2020_HFWD_18167_1,health,buyer
ocds-f5kvwu-2020_HFWD_18313_1,health,keyword
ocds-f5kvwu-2020_HFWD_18421_1,health,buyer
ocds-f5kvwu-2020_HFWD_18450_1,health,keyword
ocds-f5kvwu-2020_HFWD_18554_1,health,buyer
ocds-f5kvwu-2020_HFWD_18559_1,health,buyer
ocds-f5kvwu-2020_HFWD_18594_1,health,keyword
ocds-f5kvwu-2020_HFWD_18800_1,health,buyer
ocds-f5kvwu-2020_HFWD_18834_1,it_computing,keyword
ocds-f5kvwu-2020_HFWD_18997_1,health,buyer
ocds-f5kvwu-2020_HFWD_19200_1,health,buyer
ocds-f5kvwu-2020_HFWD_19211_1,health,keyword
ocds-f5kvwu-2020_HFWD_19242_1,health,buyer
ocds-f5kvwu-2020_HFWD_19406_1,health,buyer
ocds-f5kvwu-2020_HFWD_19410_1,health,buyer
ocds-f5kvwu-2020_HFWD_19464_1,health,buyer
ocds-f5kvwu-2020_HFWD_19491_1,health,buyer
ocds-f5kvwu-2020_HFWD_19492_1,health,buyer
ocds-f5kvwu-2020_HFWD_19493_1,health,buyer
ocds-f5kvwu-2020_HFWD_19513_1,health,keyword
ocds-f5kvwu-2020_HFWD_19513_2,health,keyword
ocds-f5kvwu-2020_HFWD_19513_3,health,keyword
ocds-f5kvwu-2020_HFWD_19583_1,health,keyword
ocds-f5kvwu-2020_HFWD_19583_2,health,keyword
ocds-f5kvwu-2020_HFWD_19607_1,health,keyword
ocds-f5kvwu-2020_HFWD_19636_1,it_computing,keyword
ocds-f5kvwu-2020_HFWD_19671_1,health,hybrid
ocds-f5kvwu-2020_HFWD_19716_1,health,keyword
ocds-f5kvwu-2020_HFWD_19716_2,health,keyword
ocds-f5kvwu-2020_HFWD_19717_3,health,keyword
ocds-f5kvwu-2020_HFWD_19717_4,health,keyword
ocds-f5kvwu-2020_HFWD_19743_1,health,buyer
ocds-f5kvwu-2020_HFWD_19743_2,health,buyer
ocds-f5kvwu-2020_HFWD_19743_3,health,buyer
ocds-f5kvwu-2020_HFWD_19743_4,health,buyer
ocds-f5kvwu-2020_HFWD_19816_1,health,buyer
ocds-f5kvwu-2020_HFWD_19816_2,health,buyer
ocds-f5kvwu-2020_ICD_17380_1,other,default_other
ocds-f5kvwu-2020_ICD_17446_1,other,default_other
ocds-f5kvwu-2020_ICD_17460_1,other,default_other
ocds-f5kvwu-2020_ICD_17562_1,other,default_other
ocds-f5kvwu-2020_ICD_17713_1,other,default_other
ocds-f5kvwu-2020_ICD_17778_1,other,default_other
ocds-f5kvwu-2020_ICD_17835_1,other,default_other
ocds-f5kvwu-2020_ICD_17835_2,other,default_other
ocds-f5kvwu-2020_ICD_17866_1,roads,keyword
ocds-f5kvwu-2020_ICD_17916_1,other,default_other
ocds-f5kvwu-2020_ICD_18032_1,other,default_other
ocds-f5kvwu-2020_ICD_18065_1,other,default_other
ocds-f5kvwu-2020_ICD_18073_1,electricity_power,keyword
