ocid,tender_title,tender_value_amount,value_amount,tender_procurementMethod,tender_fiscalYear,price_deviation
ocds-f5kvwu-2020_PWD_19408_12,"Re-Construction of Met. Misajan Road (from Ch.5000.00m to Ch 7435.00m) under SOPD-G for the year 2020-21 under PWD Charaideo District Territorial Road Division, Sonari LAC. Pkg.No. SOPD-G/2020-21/CDTRD/SNI/12",5817580.0,5526701.0,Open Tender,2020-2021,-0.05
ocds-f5kvwu-2020_PWD_19408_13,Re-Construction of Dhodar Ali to Lefera gaon Road (from Ch.0.00m to Ch 3900.00m) under SOPD-G for the year 2020-21under Charaideo District Territorial Road Division Sonari LAC. Pkg.No. SOPD-G/2020-21/CDTRD/SNI/13,6404932.0,6404930.0,Open Tender,2020-2021,-3.122593651267492e-07
ocds-f5kvwu-2020_PWD_19408_14,"Re-Construction of Rajwar Balijan to Lekamhabi Road (From Ch.0.00 m to Ch.3800.00m) under SOPD(G) for the year 2020-21 under PWD Charaideo District Territorial Road Division, Sonari LAC. Pkg.No. SOPD-G/2020-21/CDTRD/SNI/14",8611793.0,8611792.89,Open Tender,2020-2021,-1.277318200796902e-08
ocds-f5kvwu-2020_PWD_19408_16,Improvement of Banfera road and Links (From Ch.0.00 m to Ch.1905.00 m) under SOPD-G for the year 2020-21 Sonari Municipal Board. Pkg.No. SOPD-G/2020-21/CDTRD/SNI/16,8322817.0,7906676.0,Open Tender,2020-2021,-0.05000001802274398
ocds-f5kvwu-2020_PWD_19408_17,Re-construction of Charaideo Court Road (From Ch. 1093.00m to Ch.1318.00m) in PWD Charaideo District Territorial Road Division under SOPD-G for the year 2020-21 Sonari Municipal Board. Pkg.No. SOPD-G/2020-21/CDTRD/SNI/17,9096992.0,8642142.0,Open Tender,2020-2021,-0.0500000439705784
ocds-f5kvwu-2020_PWD_19408_19,"Re-Construction of Nahar Ali to Rahan Pather road (From Ch.0.00 m to Ch.3000.00 m) under SOPD(G) for the year 2020-21 under PWD Charaideo District Territorial Road Division, Sonari LAC. Pkg.No. SOPD-G/2020-21/CDTRD/SNI/15/RE",6699997.0,6364997.0,Open Tender,2020-2021,-0.05000002238806973
ocds-f5kvwu-2020_PWD_19408_2,"Construction of Michajan Lachit Ali from (Ch.0.00m to Ch 1000.00m) under SOPD-G for the year 2020-21 under PWD Charaideo District Territorial Road Division, Sonari LAC. Pkg.No. SOPD-G/2020-21/CDTRD/SNI/02",10320889.0,9804845.0,Open Tender,2020-2021,-0.04999995639910477
ocds-f5kvwu-2020_PWD_19408_20,"Re-Construction of Raidongia Na-Kachari Road (from Ch.0.00m to Ch 5970.00m) under SOPD-G for the year 2020-21 under PWD Charaideo District Territorial Road Division, Sonari LAC. Pkg.No. SOPD-G/2020-21/CDTRD/SNI/11/RE",13292997.0,12628347.0,Open Tender,2020-2021,-0.05000001128413705
ocds-f5kvwu-2020_PWD_19408_21,"Re-Construction of Rohan Shyam Gaon Road (from Ch.0.00 m to Ch 2750.00 m) under SOPD-G for the year 2020-21 under PWD Charaideo District Territorial Road Division, Sonari LAC. Pkg.No. SOPD-G/2020-21/CDTRD/SNI/10/RE",7581993.0,7202893.0,Open Tender,2020-2021,-0.05000004616200516
ocds-f5kvwu-2020_PWD_19408_22,"Re-Construction of Sapekhati Bazar Tin Ali to Bortimon TE Road (from Ch.0.00m to Ch 900.00 m) under SOPD-G for the year 2020-21 under PWD Charaideo District Territorial Road Division, Sonari LAC. Pkg.No. SOPD-G/2020-21/CDTRD/SNI/09/RE",6439629.0,6117648.0,Open Tender,2020-2021,-0.04999993012019792
ocds-f5kvwu-2020_PWD_19408_3,"Construction/ Improvement of Borahi Dolong Tiniali to Borahi Bazar Ghar (from Ch.0.00 m to Ch 1230.00 m) under SOPD-G for the year 2020-21 under PWD Charaideo District Territorial Road Division, Sonari LAC. Pkg.No. SOPD-G/2020-21/CDTRD/SNI/03",10191998.0,9682398.0,Open Tender,2020-2021,-0.05000000981161888
ocds-f5kvwu-2020_PWD_19408_4,"Construction of Dharampathar No 2 Road (from Ch.700.00m to Ch 2400.00m) excl. Bridge gap under SOPD-G for the year 2020-21 under PWD Charaideo District Territorial Road Division, Sonari LAC. Pkg.No. SOPD-G/2020-21/CDTRD/SNI/04",16378993.0,15560043.0,Open Tender,2020-2021,-0.050000021368835065
ocds-f5kvwu-2020_PWD_19408_5,"Construction/ Improvement of Tiok Bogoriguri Road (Remaining Portion)(from Ch.6500.00 m to Ch 7270.00m) under SOPD-G for the year 2020-21 under PWD Charaideo District Territorial Road Division, Sonari LAC. Pkg.No. SOPD-G/2020-21/CDTRD/SNI/05",6435837.0,6114045.0,Open Tender,2020-2021,-0.05000002330699177
ocds-f5kvwu-2020_PWD_19408_6,"Construction/ Improvement of Timonporia Road (from Ch.0.00 m to Ch 825.00 m) under SOPD-G for the year 2020-21 under PWD Charaideo District Territorial Road Division, Sonari LAC. Pkg.No. SOPD-G/2020-21/CDTRD/SNI/06",6789999.0,6450499.0,Open Tender,2020-2021,-0.05000000736377133
ocds-f5kvwu-2020_PWD_19408_7,"Construction/ Improvement of Bhojo Changmai Gaon Mulagabharu Path (from Ch.0.00 m to Ch 465.00 m) under SOPD-G for the year 2020-21 under PWD Charaideo District Territorial Road Division, Sonari LAC. Pkg.No. SOPD-G/2020-21/CDTRD/SNI/07",5278963.0,5015015.0,Open Tender,2020-2021,-0.04999997158532841
ocds-f5kvwu-2020_PWD_19408_8,"Construction/ Improvement of Bhojo Bogoriguri Janajati Road (from Ch.0.00 m to Ch 1010.00 m) under SOPD-G for the year 2020-21 under PWD Charaideo District Territorial Road Division, Sonari LAC. Pkg.No. SOPD-G/2020-21/CDTRD/SNI/08",7996723.0,7596887.0,Open Tender,2020-2021,-0.04999998124231638
ocds-f5kvwu-2020_PWD_19428_16,"Construction of Sadullabari to Chatibhui Road (Ch. 0.00m to 1000.00m) under SOPD(G) for the year 2020-21, Mankachar LAC. Package No.SOPD(G)_WAC_123",9999906.0,9493410.3,Open Tender,2020-2021,-0.05065004611043336
ocds-f5kvwu-2020_PWD_19459_1,KAM/GRC/SOPD(G)/ 2020-21/53. Construction of Road from Sukuniyapara Hekra Road at Haribhanga to Goalpara border via No.1 Masjid(from ch. 0.00m to ch. 1000.00m) under SOPD(G) for the year 2020-21,7859732.0,7073759.0,Open Tender,2020-2021,-0.09999997455383974
ocds-f5kvwu-2020_PWD_19467_1,Road from Old NH-36 from Doboka SBI to Jamuna River through Doboka Town and Road from Kapasbari Chandgram,13000000.0,11700000.0,Open Tender,2020-2021,-0.1
ocds-f5kvwu-2020_PWD_19469_1,Construction of Oksek Mikirgaon to Oksek Pathar road,5100000.0,4590000.0,Open Tender,2020-2021,-0.1
ocds-f5kvwu-2020_PWD_19470_1,Construction of Road from Ganjarpar L.P. School to Karendra Namasudra house,12213000.0,10991700.0,Open Tender,2020-2021,-0.1
